"","x"
"1",0.0459453250631748
"2",2.49425723949572
"3",0.581301469400937
"4",0.126123285511588
"5",0.543590347956748
"6",7.13590697900703
"7",0.161432513195104
"8",2.62754848334162
"9",3.20318672636292
"10",0.201836942964055
"11",0.288520641770262
"12",0.59363695390038
"13",0.300036827625051
"14",1.03635447074409
"15",2.88568662904316
"16",0.428036383092563
"17",3.88088093451934
"18",0.861408882082695
"19",1.1336032388664
"20",2.07737594617325
"21",0.439199282939946
"22",1.90906926922161
"23",0.827421466910336
"24",8.69440963749478
"25",0.00172294968986906
